#{"t_start": 1765809665.4837382, "env_id": "None"}
r,l,t
2313.89247,1001,4.800077
2021.049716,1001,9.228355
2389.873917,1001,13.474228
551.338843,256,14.67533
2165.143981,1001,19.768227
2048.276348,1001,24.429562
2263.075936,1001,28.602601
1981.876606,1001,32.731671
2334.630498,1001,37.717195
2037.276945,1001,41.884441
2332.851063,1001,46.047637
2449.841328,1001,50.137377
2069.417536,1001,54.558396
2171.916606,1001,59.490398
2169.80027,1001,63.609682
1999.831701,1001,67.754556
534.526352,260,68.968901
2150.664228,1001,73.897166
604.813906,317,75.483779
83.62547,65,75.92124
1892.750161,1001,80.892852
862.086348,448,82.880099
2305.96422,1001,87.090181
1104.845654,594,89.758687
969.582515,522,92.046106
1930.891401,1001,96.964746
2339.545789,1001,101.154895
2056.555541,1001,105.320742
1955.762013,1001,109.52291
2136.418912,1001,114.562238
516.091275,246,115.740393
119.239392,89,116.285886
2292.59405,1001,120.612774
2032.670841,1001,124.839435
2350.742902,1001,130.376011
760.029942,388,132.216918
2155.050953,1001,136.631169
2020.803451,1001,141.015012
2334.4147,1001,145.437482
853.616854,447,147.495776
148.622884,108,148.923315
821.704901,423,150.892676
2357.856183,1001,155.518508
2048.894649,1001,159.828194
1189.562837,649,162.654499
2316.200398,1001,166.840738
2305.975254,1001,171.865518
2169.383433,1001,176.083696
972.366743,506,178.314067
2191.373023,1001,182.549567
703.674567,370,184.211131
2337.305239,1001,189.203388
776.919255,401,190.988835
2258.105643,1001,195.184611
2003.255952,1001,199.390531
1152.818113,632,202.108572
2139.1081,1001,207.057899
2394.090618,1001,211.257164
2055.272958,1001,215.535589
2348.633279,1001,219.786779
2331.07291,1001,224.746669
1951.729603,1001,228.944132
570.975147,281,230.246507
2369.960746,1001,234.502738
1965.964063,1001,238.703932
2414.366447,1001,243.642449
2366.055423,1001,247.851863
2110.22536,1001,252.089834
2397.089368,1001,256.288641
2231.843291,1001,261.272145
2236.861781,1001,265.52777
1894.828415,1001,269.745223
978.684664,614,272.396487
2100.986221,1001,277.399854
951.000389,534,279.829802
2316.640137,1001,284.031114
2001.730332,1001,288.230998
2340.482954,1001,292.432894
590.515631,304,293.825955
111.7076,74,295.043427
2141.701994,1001,299.256534
2114.481649,1001,303.46585
1903.010768,1001,307.673276
506.758251,248,308.877882
2001.285073,1001,313.814374
1943.63798,1001,318.020919
469.597735,219,319.070629
515.549505,259,320.278727
2419.041198,1001,324.472792
1950.918951,1001,328.680868
1309.367102,759,332.656603
117.153656,81,333.147352
2001.305862,1001,337.35119
1964.255457,1001,341.650418
1964.762058,1001,345.856788
2191.512526,1001,350.799239
2413.019039,1001,354.996936
2245.235794,1001,359.200344
2040.238433,1001,363.405204
191.68136,156,364.205361
639.97219,342,365.75983
603.02638,301,367.885327
571.905905,281,369.212717
2229.975263,1001,373.424425
2122.221683,1001,377.628588
2047.241422,1001,382.028327
2201.705679,1001,387.009219
547.164785,259,388.221245
212.634718,157,389.047416
1926.551992,1001,393.261353
2230.125778,1001,397.465591
2289.363312,1001,401.697448
2217.948378,1001,406.710046
1303.752276,720,409.787608
792.559485,420,411.648723
690.420147,395,413.400626
536.653813,265,414.635352
2392.961271,1001,418.842005
2403.865784,1001,423.787242
2088.176946,1001,428.005713
2472.444988,1001,432.239404
2371.812928,1001,436.430183
2131.130211,1001,441.375558
2373.047712,1001,445.574003
2368.857629,1001,449.766398
2145.741029,1001,453.964524
765.233379,387,455.69877
117.739687,81,456.189849
166.663661,115,456.814363
2104.556713,1001,461.805271
2241.685296,1001,466.119301
2259.454907,1001,470.427427
1188.086829,655,473.251394
1881.975474,1001,478.21421
